# Reference FES along x for the double well model potential
# The exact DeltaF between the basins is 3.31502...
#x  FES  der_FES_x
-3.0 34.5770271921 -74.9987505107
-2.99399399399 34.1265842461 -74.6782134519
-2.98798798799 33.6799915951 -74.0386172349
-2.98198198198 33.2372314865 -73.4019738789
-2.97597597598 32.7982862031 -72.7682775035
-2.96996996997 32.363138063 -72.1375222287
-2.96396396396 31.9317694196 -71.5097021751
-2.95795795796 31.5041626615 -70.8848114634
-2.95195195195 31.0803002128 -70.2628442152
-2.94594594595 30.6601645328 -69.643794552
-2.93993993994 30.2437381161 -69.0276565962
-2.93393393393 29.8310034926 -68.4144244703
-2.92792792793 29.4219432276 -67.8040922976
-2.92192192192 29.0165399215 -67.1966542017
-2.91591591592 28.6147762101 -66.5921043064
-2.90990990991 28.2166347647 -65.9904367365
-2.9039039039 27.8220982914 -65.3916456167
-2.8978978979 27.431149532 -64.7957250727
-2.89189189189 27.0437712635 -64.2026692304
-2.88588588589 26.659946298 -63.6124722161
-2.87987987988 26.2796574831 -63.0251281569
-2.87387387387 25.9028877015 -62.4406311801
-2.86786786787 25.5296198713 -61.8589754137
-2.86186186186 25.1598369458 -61.2801549862
-2.85585585586 24.7935219135 -60.7041640264
-2.84984984985 24.4306577984 -60.130996664
-2.84384384384 24.0712276593 -59.5606470289
-2.83783783784 23.7152145908 -58.9931092516
-2.83183183183 23.3626017224 -58.4283774633
-2.82582582583 23.0133722189 -57.8664457955
-2.81981981982 22.6675092804 -57.3073083806
-2.81381381381 22.3249961422 -56.7509593511
-2.80780780781 21.985816075 -56.1973928404
-2.8018018018 21.6499523844 -55.6466029824
-2.7957957958 21.3173884115 -55.0985839115
-2.78978978979 20.9881075326 -54.5533297629
-2.78378378378 20.6620931591 -54.0108346719
-2.77777777778 20.3393287377 -53.471092775
-2.77177177177 20.0197977504 -52.9340982089
-2.76576576577 19.7034837142 -52.3998451111
-2.75975975976 19.3903701815 -51.8683276195
-2.75375375375 19.0804407398 -51.3395398729
-2.74774774775 18.7736790118 -50.8134760105
-2.74174174174 18.4700686556 -50.2901301723
-2.73573573574 18.1695933641 -49.7694964988
-2.72972972973 17.8722368658 -49.2515691312
-2.72372372372 17.5779829241 -48.7363422114
-2.71771771772 17.2868153377 -48.223809882
-2.71171171171 16.9987179406 -47.7139662861
-2.70570570571 16.7136746016 -47.2068055676
-2.6996996997 16.431669225 -46.7023218711
-2.69369369369 16.1526857503 -46.2005093418
-2.68768768769 15.8767081518 -45.7013621258
-2.68168168168 15.6037204395 -45.2048743696
-2.67567567568 15.3337066579 -44.7110402206
-2.66966966967 15.0666508873 -44.219853827
-2.66366366366 14.8025372426 -43.7313093376
-2.65765765766 14.5413498742 -43.2454009019
-2.65165165165 14.2830729675 -42.7621226703
-2.64564564565 14.027690743 -42.2814687939
-2.63963963964 13.7751874564 -41.8034334244
-2.63363363363 13.5255473986 -41.3280107145
-2.62762762763 13.2787548953 -40.8551948175
-2.62162162162 13.0347943077 -40.3849798877
-2.61561561562 12.7936500318 -39.9173600801
-2.60960960961 12.5553064989 -39.4523295502
-2.6036036036 12.3197481753 -38.9898824549
-2.5975975976 12.0869595625 -38.5300129514
-2.59159159159 11.8569251969 -38.0727151981
