0 2.14748e+09 4 1 5 2.14748e+09 3 5 2.14748e+09 2.14748e+09 2.14748e+09 4 2 2 6 2.14748e+09 8 7 9 2.14748e+09 3 6 8 5 11 2.14748e+09 3 6 10 7 9 11 6 8 6 9 6 8 8 9 6 7 8 7 6 8 4 8 8 6 10 7 9 9 9 11 9 5 7 7 5 9 5 8 7 8 11 6 4 6 6 8 2.14748e+09 4 2.14748e+09 7 2.14748e+09 5 2.14748e+09 5 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 
1 0 5 2 2 2.14748e+09 4 6 2.14748e+09 2.14748e+09 2.14748e+09 5 3 3 7 2.14748e+09 5 4 6 2.14748e+09 4 7 9 6 12 2.14748e+09 4 7 11 8 8 4 3 8 7 10 7 7 7 10 7 6 9 8 7 8 5 9 9 7 10 8 10 9 8 8 5 6 8 7 6 6 6 9 8 9 11 7 5 7 7 5 2.14748e+09 5 2.14748e+09 8 2.14748e+09 6 2.14748e+09 6 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 
2 2.14748e+09 0 1 3 2.14748e+09 4 6 2.14748e+09 2.14748e+09 2.14748e+09 4 4 2 4 2.14748e+09 6 5 7 2.14748e+09 3 7 9 5 11 2.14748e+09 5 6 10 8 9 11 4 9 7 10 8 8 8 9 6 7 8 8 5 9 6 9 10 8 11 7 9 10 9 11 10 6 8 8 7 7 7 8 6 10 11 8 5 7 7 6 2.14748e+09 6 2.14748e+09 9 2.14748e+09 7 2.14748e+09 6 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 
3 2.14748e+09 4 0 4 2.14748e+09 3 5 2.14748e+09 2.14748e+09 2.14748e+09 3 5 1 5 2.14748e+09 7 6 8 2.14748e+09 2 6 9 4 10 2.14748e+09 6 5 9 8 10 12 5 8 6 10 7 7 9 8 5 8 7 7 6 10 7 8 9 8 10 6 8 9 10 10 9 5 7 7 7 8 7 7 7 9 10 9 4 6 6 7 2.14748e+09 6 2.14748e+09 8 2.14748e+09 8 2.14748e+09 5 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 
4 2.14748e+09 5 3 0 2.14748e+09 4 6 2.14748e+09 2.14748e+09 2.14748e+09 4 6 2 8 2.14748e+09 3 2 4 2.14748e+09 3 5 7 5 11 2.14748e+09 7 6 10 6 6 8 1 6 7 8 6 7 5 8 6 4 8 6 5 6 8 9 8 5 8 7 9 7 6 8 8 6 8 5 8 4 6 7 6 7 9 10 5 7 7 3 2.14748e+09 7 2.14748e+09 6 2.14748e+09 7 2.14748e+09 6 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 
5 2.14748e+09 6 4 8 0 5 7 2.14748e+09 2.14748e+09 2.14748e+09 5 7 3 9 2.14748e+09 4 3 5 2.14748e+09 4 6 8 6 12 2.14748e+09 8 7 11 7 7 9 2 6 4 9 7 6 6 7 7 5 9 5 4 6 9 10 7 6 9 8 10 8 7 9 9 7 3 5 9 5 5 8 1 8 10 9 2 4 8 4 2.14748e+09 8 2.14748e+09 7 2.14748e+09 7 2.14748e+09 3 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 
8 2.14748e+09 7 5 9 2.14748e+09 0 8 2.14748e+09 2.14748e+09 2.14748e+09 6 9 4 10 2.14748e+09 5 4 6 2.14748e+09 5 7 7 7 13 2.14748e+09 7 8 11 6 8 10 3 5 3 8 8 5 6 6 7 6 10 4 5 7 9 10 6 5 10 9 11 9 8 8 10 2 6 4 9 6 4 9 6 7 11 8 1 3 9 5 2.14748e+09 8 2.14748e+09 6 2.14748e+09 7 2.14748e+09 2 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 
10 2.14748e+09 8 8 11 2.14748e+09 7 0 2.14748e+09 2.14748e+09 2.14748e+09 7 9 5 12 2.14748e+09 8 7 9 2.14748e+09 6 7 7 8 9 2.14748e+09 8 4 11 6 8 10 10 6 4 8 2 6 6 7 9 7 11 5 3 8 10 3 7 6 5 9 7 4 8 9 5 6 2 5 6 9 5 6 4 4 12 5 5 4 1 8 2.14748e+09 5 2.14748e+09 3 2.14748e+09 4 2.14748e+09 3 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 
9 2.14748e+09 7 8 10 2.14748e+09 10 8 0 2.14748e+09 2.14748e+09 6 9 9 11 2.14748e+09 9 7 10 2.14748e+09 5 7 7 7 13 2.14748e+09 8 8 11 6 8 10 9 6 5 8 2 4 6 7 8 8 10 4 3 9 8 7 3 7 5 9 11 4 8 7 5 6 5 7 2 9 6 10 4 4 12 5 5 6 1 8 2.14748e+09 5 2.14748e+09 3 2.14748e+09 4 2.14748e+09 4 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 
5 2.14748e+09 3 4 6 2.14748e+09 2 4 2.14748e+09 0 2.14748e+09 7 1 5 7 2.14748e+09 7 6 8 2.14748e+09 6 5 7 8 11 2.14748e+09 2 6 11 6 8 10 5 5 5 8 5 6 3 6 9 6 11 6 5 7 9 7 7 5 4 10 9 8 10 6 8 4 6 6 4 8 4 8 6 5 11 9 3 5 5 7 2.14748e+09 3 2.14748e+09 4 2.14748e+09 8 2.14748e+09 4 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 2.14748e+09 
