#! FIELDS time c1 c2 c3 x
0 6.03221 0 3.32233 6.78662
1 6.03221 3.5 3.32233 6.78662
2 6.03221 7 3.32233 6.78662
3 6.03221 10.5 3.32233 6.78662
4 6.03221 14 3.32233 6.78662
5 6.03221 17.5 3.32233 6.78662
6 6.03221 21 3.32233 6.78662
7 6.03221 24.5 3.32233 6.78662
8 6.03221 28 3.32233 6.78662
9 6.03221 31.5 3.32233 6.78662
10 4.14567 0 6.07555 7.2552
11 4.14567 3.5 6.07555 7.2552
12 4.14567 7 6.07555 7.2552
13 4.14567 10.5 6.07555 7.2552
14 4.14567 14 6.07555 7.2552
15 4.14567 17.5 6.07555 7.2552
16 4.14567 21 6.07555 7.2552
17 4.14567 24.5 6.07555 7.2552
18 4.14567 28 6.07555 7.2552
19 4.14567 31.5 6.07555 7.2552
20 1.23179 0 7.69736 7.6953
21 1.23179 3.5 7.69736 7.6953
22 1.23179 7 7.69736 7.6953
23 1.23179 10.5 7.69736 7.6953
24 1.23179 14 7.69736 7.6953
25 1.23179 17.5 7.69736 7.6953
26 1.23179 21 7.69736 7.6953
27 1.23179 24.5 7.69736 7.6953
28 1.23179 28 7.69736 7.6953
29 1.23179 31.5 7.69736 7.6953
30 -2.09179 0 7.94066 8.11156
31 -2.09179 3.5 7.94066 8.11156
32 -2.09179 7 7.94066 8.11156
33 -2.09179 10.5 7.94066 8.11156
34 -2.09179 14 7.94066 8.11156
35 -2.09179 17.5 7.94066 8.11156
36 -2.09179 21 7.94066 8.11156
37 -2.09179 24.5 7.94066 8.11156
38 -2.09179 28 7.94066 8.11156
39 -2.09179 31.5 7.94066 8.11156
40 -5.23302 0 6.83404 8.50747
41 -5.23302 3.5 6.83404 8.50747
42 -5.23302 7 6.83404 8.50747
43 -5.23302 10.5 6.83404 8.50747
44 -5.23302 14 6.83404 8.50747
45 -5.23302 17.5 6.83404 8.50747
46 -5.23302 21 6.83404 8.50747
47 -5.23302 24.5 6.83404 8.50747
48 -5.23302 28 6.83404 8.50747
49 -5.23302 31.5 6.83404 8.50747
50 -7.71173 0 4.61229 8.88577
