#! FIELDS time c1 c2 c3 x
0 6.03221 0 3.32233 6.78662
1 6.03221 3.5 3.32233 6.78662
2 6.03221 7 3.32233 6.78662
3 6.03221 10.5 3.32233 6.78662
4 6.03221 14 3.32233 6.78662
5 6.03221 17.5 3.32233 6.78662
6 6.03221 21 3.32233 6.78662
7 6.03221 24.5 3.32233 6.78662
8 6.03221 28 3.32233 6.78662
9 6.03221 31.5 3.32233 6.78662
10 4.14567 0 6.07555 7.2552
11 4.14567 3.5 6.07555 7.2552
12 4.14567 7 6.07555 7.2552
13 4.14567 10.5 6.07555 7.2552
14 4.14567 14 6.07555 7.2552
15 4.14567 17.5 6.07555 7.2552
16 4.14567 21 6.07555 7.2552
17 4.14567 24.5 6.07555 7.2552
18 4.14567 28 6.07555 7.2552
19 4.14567 31.5 6.07555 7.2552
20 1.23179 0 7.69736 7.6953
21 1.23179 3.5 7.69736 7.6953
22 1.23179 7 7.69736 7.6953
23 1.23179 10.5 7.69736 7.6953
24 1.23179 14 7.69736 7.6953
25 1.23179 17.5 7.69736 7.6953
26 1.23179 21 7.69736 7.6953
27 1.23179 24.5 7.69736 7.6953
28 1.23179 28 7.69736 7.6953
29 1.23179 31.5 7.69736 7.6953
30 -2.09179 0 7.94066 8.11156
31 -2.09179 3.5 7.94066 8.11156
32 -2.09179 7 7.94066 8.11156
33 -2.09179 10.5 7.94066 8.11156
34 -2.09179 14 7.94066 8.11156
35 -2.09179 17.5 7.94066 8.11156
36 -2.09179 21 7.94066 8.11156
37 -2.09179 24.5 7.94066 8.11156
38 -2.09179 28 7.94066 8.11156
39 -2.09179 31.5 7.94066 8.11156
40 -5.23302 0 6.83404 8.50747
41 -5.23302 3.5 6.83404 8.50747
42 -5.23302 7 6.83404 8.50747
43 -5.23302 10.5 6.83404 8.50747
44 -5.23302 14 6.83404 8.50747
45 -5.23302 17.5 6.83404 8.50747
46 -5.23302 21 6.83404 8.50747
47 -5.23302 24.5 6.83404 8.50747
48 -5.23302 28 6.83404 8.50747
49 -5.23302 31.5 6.83404 8.50747
50 -7.71173 0 4.61229 8.88577
51 -7.71173 3.5 4.61229 8.88577
52 -7.71173 7 4.61229 8.88577
53 -7.71173 10.5 4.61229 8.88577
54 -7.71173 14 4.61229 8.88577
55 -7.71173 17.5 4.61229 8.88577
56 -7.71173 21 4.61229 8.88577
57 -7.71173 24.5 4.61229 8.88577
58 -7.71173 28 4.61229 8.88577
59 -7.71173 31.5 4.61229 8.88577
60 -9.20389 0 1.63853 9.2486
61 -9.20389 3.5 1.63853 9.2486
62 -9.20389 7 1.63853 9.2486
63 -9.20389 10.5 1.63853 9.2486
64 -9.20389 21 1.63853 9.2486
65 -9.20389 24.5 1.63853 9.2486
66 -9.20389 28 1.63853 9.2486
67 -9.20389 31.5 1.63853 9.2486
68 -9.55305 0 -1.66884 9.59772
69 -9.55305 3.5 -1.66884 9.59772
70 -9.55305 7 -1.66884 9.59772
71 -9.55305 10.5 -1.66884 9.59772
72 -9.55305 21 -1.66884 9.59772
73 -9.55305 24.5 -1.66884 9.59772
74 -9.55305 28 -1.66884 9.59772
75 -9.55305 31.5 -1.66884 9.59772
76 -8.75856 0 -4.897 9.93459
77 -8.75856 3.5 -4.897 9.93459
78 -8.75856 7 -4.897 9.93459
79 -8.75856 10.5 -4.897 9.93459
80 -8.75856 21 -4.897 9.93459
81 -8.75856 24.5 -4.897 9.93459
82 -8.75856 28 -4.897 9.93459
83 -8.75856 31.5 -4.897 9.93459
84 -6.9489 0 -7.68444 10.2604
85 -6.9489 3.5 -7.68444 10.2604
86 -6.9489 7 -7.68444 10.2604
87 -6.9489 10.5 -7.68444 10.2604
88 -6.9489 21 -7.68444 10.2604
89 -6.9489 24.5 -7.68444 10.2604
90 -6.9489 28 -7.68444 10.2604
91 -6.9489 31.5 -7.68444 10.2604
92 -4.34745 0 -9.75092 10.5762
93 -4.34745 3.5 -9.75092 10.5762
94 -4.34745 7 -9.75092 10.5762
95 -4.34745 10.5 -9.75092 10.5762
96 -4.34745 21 -9.75092 10.5762
97 -4.34745 24.5 -9.75092 10.5762
98 -4.34745 28 -9.75092 10.5762
99 -4.34745 31.5 -9.75092 10.5762
100 -1.23599 0 -10.913 10.8828
101 -1.23599 3.5 -10.913 10.8828
102 -1.23599 7 -10.913 10.8828
103 -1.23599 10.5 -10.913 10.8828
104 -1.23599 21 -10.913 10.8828
105 -1.23599 24.5 -10.913 10.8828
106 -1.23599 28 -10.913 10.8828
107 -1.23599 31.5 -10.913 10.8828
108 2.07994 0 -11.0876 11.181
109 2.07994 3.5 -11.0876 11.181
110 2.07994 7 -11.0876 11.181
111 2.07994 10.5 -11.0876 11.181
112 2.07994 14 -11.0876 11.181
113 2.07994 17.5 -11.0876 11.181
114 2.07994 21 -11.0876 11.181
115 2.07994 24.5 -11.0876 11.181
116 2.07994 28 -11.0876 11.181
117 2.07994 31.5 -11.0876 11.181
118 5.30134 0 -10.2857 11.4715
119 5.30134 3.5 -10.2857 11.4715
120 5.30134 7 -10.2857 11.4715
121 5.30134 10.5 -10.2857 11.4715
122 5.30134 14 -10.2857 11.4715
