#! FIELDS idx_phi ves1.coeffs ves1.aux_coeffs index
#! SET time 20.000000
#! SET iteration  10
#! SET type LinearBasisSet
#! SET ndimensions  1
#! SET ncoeffs_total  11
#! SET shape_phi  11
       0     0.000000     0.000000       0
       1     0.205729    -0.052695       1
       2    -4.971305    -8.772526       2
       3    -3.756567    -6.048102       3
       4    -0.842988    -1.059199       4
       5    -1.697444    -2.759682       5
       6     3.054607     4.858669       6
       7     2.568698     4.445279       7
       8     2.208072     3.629202       8
       9     2.266734     3.456672       9
      10    -1.877002    -3.543669      10
#!-------------------


