#! FIELDS idx_energy idx_vol idx_op.morethan b1.targetdist_averages index
#! SET time 0.000000
#! SET iteration  0
#! SET type LinearBasisSet
#! SET ndimensions  3
#! SET ncoeffs_total  729
#! SET shape_energy  9
#! SET shape_vol  9
#! SET shape_op.morethan  9
       0       0       0         1.0000000000000000e+00       0
       1       0       0        -4.2293625605828097e-17       1
       2       0       0         6.2499999999995393e-04       2
       3       0       0        -5.9292306307801024e-21       3
       4       0       0         2.0824218749993751e-03       4
       5       0       0         0.0000000000000000e+00       5
       6       0       0         4.3640678710946366e-03       6
       7       0       0         5.4188932800593864e-18       7
       8       0       0         7.4399833329768864e-03       8
       0       1       0        -5.5904174518783822e-20       9
       1       1       0         1.0744612935920800e-18      10
       2       1       0        -1.0753083265393343e-18      11
       3       1       0         8.4703294725430034e-22      12
       4       1       0         2.6893296075324036e-19      13
       5       1       0        -2.5410988417629010e-21      14
       6       1       0         5.3659537208559926e-19      15
       7       1       0         2.1175823681357508e-21      16
       8       1       0        -5.3659537208559926e-19      17
       0       2       0         6.2500000000033265e-04      18
       1       2       0        -2.1713689602863989e-18      19
       2       2       0         3.9062499999510390e-07      20
       3       2       0        -4.2351647362715017e-21      21
       4       2       0         1.3015136718748956e-06      22
       5       2       0        -1.3383120566617945e-19      23
       6       2       0         2.7275424194335525e-06      24
       7       2       0         1.3679582098156950e-19      25
       8       2       0         4.6499895831099215e-06      26
       0       3       0         8.8074485855502149e-18      27
       1       3       0         5.2558394377129336e-19      28
       2       3       0        -5.4337163566363367e-19      29
       3       3       0         5.4125405329549792e-19      30
       4       3       0         2.7401515843676616e-19      31
       5       3       0         0.0000000000000000e+00      32
       6       3       0        -2.7062702664774896e-19      33
       7       3       0        -4.2351647362715017e-22      34
       8       3       0         1.3679582098156950e-19      35
       0       4       0         2.0824218749993652e-03      36
       1       4       0        -2.1442639059742613e-18      37
       2       4       0         1.3015136718721906e-06      38
       3       4       0         5.4125405329549792e-19      39
       4       4       0         4.3364808654781707e-06      40
       5       4       0         1.3552527156068805e-19      41
       6       4       0         9.0878303987491896e-06      42
       7       4       0         6.7339119306716877e-20      43
       8       4       0         1.5493184042227200e-05      44
       0       5       0         4.3893247326717844e-18      45
       1       5       0        -9.7408788934244539e-21      46
       2       5       0         2.7316812548951186e-19      47
       3       5       0         2.5410988417629010e-21      48
       4       5       0         2.9646153153900512e-21      49
       5       5       0         0.0000000000000000e+00      50
       6       5       0        -2.0371142381465923e-19      51
       7       5       0        -6.7339119306716877e-20      52
       8       5       0        -6.8186152253971177e-20      53
       0       6       0         4.3640678710940130e-03      54
       1       6       0         1.1015663479042176e-18      55
       2       6       0         2.7275424194328046e-06      56
       3       6       0        -5.4718328392627802e-19      57
       4       6       0         9.0878303987495623e-06      58
       5       6       0         5.4464218508451512e-19      59
       6       6       0         1.9045088383512275e-05      60
       7       6       0        -6.7339119306716877e-20      61
       8       6       0         3.2468592224917965e-05      62
       0       7       0         4.2787869330550982e-18      63
       1       7       0        -1.0532854699107225e-18      64
       2       7       0         4.2351647362715017e-22      65
       3       7       0         2.7274460901588471e-19      66
       4       7       0        -1.3425472213980660e-19      67
       5       7       0        -1.3976043629695956e-19      68
       6       7       0         0.0000000000000000e+00      69
       7       7       0        -1.2705494208814505e-21      70
       8       7       0        -6.8186152253971177e-20      71
       0       8       0         7.4399833329767615e-03      72
       1       8       0         3.8116482626443515e-21      73
       2       8       0         4.6499895831114886e-06      74
       3       8       0        -5.4718328392627802e-19      75
       4       8       0         1.5493184042227627e-05      76
       5       8       0        -1.3129010682441655e-19      77
       6       8       0         3.2468592224918480e-05      78
       7       8       0        -6.7339119306716877e-20      79
       8       8       0         5.5353351994979839e-05      80
       0       0       1         3.6834074744300505e-17      81
       1       0       1        -3.6845933205562065e-20      82
       2       0       1        -7.5682393837171735e-19      83
       3       0       1         8.4703294725430034e-22      84
       4       0       1         3.8921163926335101e-19      85
       5       0       1         0.0000000000000000e+00      86
       6       0       1         1.5360942498456737e-18      87
       7       0       1        -5.5057141571529522e-21      88
       8       0       1        -9.5926481276549513e-19      89
       0       1       1         2.5461810394464268e-18      90
       1       1       1         3.8116482626443515e-21      91
       2       1       1         1.5670109524204556e-20      92
       3       1       1        -5.9292306307801024e-21      93
       4       1       1         1.2705494208814505e-21      94
       5       1       1         4.2351647362715017e-21      95
       6       1       1         1.8211208365967457e-20      96
       7       1       1         2.1175823681357508e-21      97
       8       1       1         3.2610768469290563e-20      98
       0       2       1         6.2172218328465645e-19      99
       1       2       1         1.0587911840678754e-20     100
       2       2       1         4.9551427414376570e-20     101
       3       2       1        -7.6232965252887031e-21     102
       4       2       1         2.6681537838510461e-20     103
       5       2       1         0.0000000000000000e+00     104
       6       2       1        -2.8375603733019061e-20     105
       7       2       1         1.2705494208814505e-21     106
       8       2       1         5.5057141571529522e-21     107
       0       3       1        -2.9984966332802232e-19     108
       1       3       1        -1.6517142471458857e-20     109
       2       3       1         5.5057141571529522e-21     110
       3       3       1        -8.4703294725430034e-22     111
       4       3       1         1.2705494208814505e-21     112
       5       3       1         3.3881317890172014e-21     113
       6       3       1        -4.6586812098986519e-21     114
       7       3       1        -3.8116482626443515e-21     115
