10 0.050000 14.074354 -634.565052 1645.480219 1761.212867
20 0.100000 10.695250 -562.668342 1169.962208 1413.264578
30 0.150000 3.636492 -561.548268 27.563475 347.606562
40 0.200000 0.993374 -559.931505 -399.004928 4.495983
50 0.250000 5.327557 -557.997414 305.066739 803.236811
60 0.300000 10.381703 -565.109304 1116.726507 1696.003234
70 0.350000 9.640969 -546.546942 1015.290083 1629.584152
80 0.400000 4.188741 -560.744310 117.831756 800.022646
90 0.450000 1.005476 -562.466342 -399.579255 338.894277
100 0.500000 3.344090 -545.268649 -3.526146 809.188838
110 0.550000 7.864904 -552.147203 721.967300 1588.187828
120 0.600000 8.358076 -557.756603 796.251697 1760.400728
130 0.650000 4.763724 -557.941230 213.782058 1249.651214
140 0.700000 1.370179 -552.579930 -330.610912 753.456271
150 0.750000 1.848394 -545.364489 -245.924643 872.036975
160 0.800000 5.053651 -544.756376 273.935134 1443.232602
170 0.850000 6.976044 -548.229388 581.889746 1802.641233
180 0.900000 4.972897 -535.888179 269.721164 1537.977428
190 0.950000 1.861085 -549.426464 -247.930630 1073.173609
200 1.000000 1.123906 -538.302601 -356.229836 1003.917853
210 1.050000 3.364807 -539.960839 5.137974 1392.706558
220 1.100000 5.424175 -529.965340 348.751047 1767.491826
230 1.150000 4.857512 -530.080029 256.836880 1694.285981
240 1.200000 2.292977 -524.933416 -153.471145 1310.257887
250 1.250000 1.033142 -525.403407 -358.034470 1121.844747
260 1.300000 2.126103 -505.828462 -161.399823 1356.378286
270 1.350000 4.141661 -524.346335 146.602718 1692.578991
280 1.400000 4.633506 -525.835883 224.792143 1784.259073
290 1.450000 2.962835 -526.826705 -46.847509 1536.638786
300 1.500000 1.182273 -519.878454 -328.350274 1284.458241
310 1.550000 1.575962 -534.403719 -279.097826 1357.724660
320 1.600000 3.126191 -541.577777 -35.134875 1634.194318
330 1.650000 3.951252 -537.071548 103.031284 1796.345316
340 1.700000 2.924416 -511.101974 -37.346505 1674.720586
350 1.750000 1.560783 -516.309183 -263.462324 1462.902819
360 1.800000 1.093432 -505.175501 -328.039529 1421.364489
370 1.850000 1.982140 -517.696169 -196.589496 1578.583547
380 1.900000 3.082454 -522.270209 -22.912718 1763.464079
390 1.950000 3.162665 -518.632297 -6.280549 1772.276535
400 2.000000 2.035630 -509.859532 -180.087500 1627.614417
410 2.050000 1.389413 -539.769915 -314.685053 1504.149389
420 2.100000 1.497205 -529.620947 -287.073817 1551.746322
430 2.150000 2.271166 -509.559816 -141.630855 1703.196592
440 2.200000 2.723355 -509.710151 -68.526564 1794.639987
450 2.250000 2.261785 -514.608790 -148.199587 1734.640910
460 2.300000 1.387414 -507.611680 -282.850682 1611.899421
470 2.350000 1.077582 -509.183950 -334.615624 1575.959547
480 2.400000 1.607365 -512.494254 -252.101048 1677.237423
490 2.450000 2.251900 -509.180467 -144.372674 1780.222150
500 2.500000 2.027186 -476.086433 -147.682260 1779.994558
