#! FIELDS idx_dim1 idx_dim2 pot.coeffs index description
#! SET type LinearBasisSet
#! SET ndimensions  2
#! SET ncoeffs_total  121
#! SET shape_dim1  11
#! SET shape_dim2  11
       0       0         0.0000000000000000e+00           0  1*1
       1       0        -2.4966018652490876e-01 	  1  cos(1*s)*1
       2       0        -1.6481127686114256e+01 	  2  sin(1*s)*1
       3       0        -5.2771620066901681e+00 	  3  cos(2*s)*1
       4       0         1.3477429512855775e+01 	  4  sin(2*s)*1
       5       0        -9.3912452569012501e+00 	  5  cos(3*s)*1
       6       0        -1.8763001895117606e+00 	  6  sin(3*s)*1
       7       0         2.4062027767354358e-01 	  7  cos(4*s)*1
       8       0        -9.4237687486515828e-02 	  8  sin(4*s)*1
       9       0         1.6606117517366084e-01 	  9  cos(5*s)*1
      10       0        -1.2503445732451043e-01 	 10  sin(5*s)*1
       0       1         4.5165756736240121e+00 	 11  1*cos(1*s)
       1       1         1.4407828852819172e+01 	 12  cos(1*s)*cos(1*s)
       2       1         1.0011192392877761e+00 	 13  sin(1*s)*cos(1*s)
       3       1         6.4515313488141893e-02 	 14  cos(2*s)*cos(1*s)
       4       1         5.1170716440419395e-01 	 15  sin(2*s)*cos(1*s)
       5       1         2.8481193995038490e-01 	 16  cos(3*s)*cos(1*s)
       6       1        -1.9370075402937970e-01 	 17  sin(3*s)*cos(1*s)
       7       1         6.0806104501238689e-02 	 18  cos(4*s)*cos(1*s)
       8       1         2.4179249151990559e-01 	 19  sin(4*s)*cos(1*s)
       9       1        -2.2161302136615241e-02 	 20  cos(5*s)*cos(1*s)
      10       1         1.5209484976645093e-03 	 21  sin(5*s)*cos(1*s)
       0       2         2.1955932231118807e+00 	 22  1*sin(1*s)
       1       2        -9.1809655533383139e-01 	 23  cos(1*s)*sin(1*s)
       2       2        -1.7966193713845385e+01 	 24  sin(1*s)*sin(1*s)
       3       2         7.2379742055830465e-01 	 25  cos(2*s)*sin(1*s)
       4       2        -4.8857446699842608e+00 	 26  sin(2*s)*sin(1*s)
       5       2        -2.6793070443265832e-01 	 27  cos(3*s)*sin(1*s)
       6       2        -5.1623033792573536e-01 	 28  sin(3*s)*sin(1*s)
       7       2         3.2613532853202939e-02 	 29  cos(4*s)*sin(1*s)
       8       2         1.2469283875862530e-01 	 30  sin(4*s)*sin(1*s)
       9       2         3.7204059958635509e-02 	 31  cos(5*s)*sin(1*s)
      10       2        -4.0531337887131043e-02 	 32  sin(5*s)*sin(1*s)
       0       3         3.2761077317089273e+00 	 33  1*cos(2*s)
       1       3        -3.7312444400520040e+00 	 34  cos(1*s)*cos(2*s)
       2       3        -4.6856879053038558e-01 	 35  sin(1*s)*cos(2*s)
       3       3        -3.2079194360644805e+00 	 36  cos(2*s)*cos(2*s)
       4       3         1.5940725614508180e-01 	 37  sin(2*s)*cos(2*s)
       5       3        -2.3027789409675861e+00 	 38  cos(3*s)*cos(2*s)
       6       3        -1.9466051519384334e-01 	 39  sin(3*s)*cos(2*s)
       7       3        -1.1307636149291023e+00 	 40  cos(4*s)*cos(2*s)
       8       3        -5.8487158490918414e-02 	 41  sin(4*s)*cos(2*s)
       9       3        -3.8490066975418241e-01 	 42  cos(5*s)*cos(2*s)
      10       3        -5.9569653915178322e-02 	 43  sin(5*s)*cos(2*s)
       0       4        -3.6150806342489399e+00 	 44  1*sin(2*s)
       1       4         2.4807361215091625e-01 	 45  cos(1*s)*sin(2*s)
       2       4         1.7914441867346651e+00 	 46  sin(1*s)*sin(2*s)
       3       4        -7.6325215165821503e-01 	 47  cos(2*s)*sin(2*s)
       4       4         4.3476071401754268e+00 	 48  sin(2*s)*sin(2*s)
       5       4         3.3459389321474020e-01 	 49  cos(3*s)*sin(2*s)
       6       4         2.8915711883616715e+00 	 50  sin(3*s)*sin(2*s)
       7       4        -1.6870041549011630e-01 	 51  cos(4*s)*sin(2*s)
       8       4         1.7814583622324220e+00 	 52  sin(4*s)*sin(2*s)
       9       4        -9.1068448290047857e-02 	 53  cos(5*s)*sin(2*s)
      10       4         3.5041515492681669e-02 	 54  sin(5*s)*sin(2*s)
       0       5        -1.2557743017612000e+00 	 55  1*cos(3*s)
       1       5         5.4366973257700801e-01 	 56  cos(1*s)*cos(3*s)
       2       5         1.4034161882288484e-01 	 57  sin(1*s)*cos(3*s)
       3       5         2.3998754618338630e-01 	 58  cos(2*s)*cos(3*s)
       4       5         1.4970630808274615e-01 	 59  sin(2*s)*cos(3*s)
       5       5         1.0059085052795784e+00 	 60  cos(3*s)*cos(3*s)
       6       5        -1.3048154022434155e-01 	 61  sin(3*s)*cos(3*s)
       7       5         3.0730763578349130e-01 	 62  cos(4*s)*cos(3*s)
       8       5         2.9624690362617896e-02 	 63  sin(4*s)*cos(3*s)
       9       5         9.3468916219033804e-02 	 64  cos(5*s)*cos(3*s)
      10       5         4.9502813467264047e-02 	 65  sin(5*s)*cos(3*s)
       0       6         5.2059850470630786e-01 	 66  1*sin(3*s)
       1       6        -1.3773988638029450e-01 	 67  cos(1*s)*sin(3*s)
       2       6        -2.3578073018776854e-01 	 68  sin(1*s)*sin(3*s)
