#! FIELDS idx_dim1 idx_dim2 pot.coeffs index description
#! SET type LinearBasisSet
#! SET ndimensions  2
#! SET ncoeffs_total  25
#! SET shape_dim1  5
#! SET shape_dim2  5
       0       0         1.8559800000000000e+01       0  1*1
       1       0         1.3348100000000000e+00       1  s^1*1
       2       0        -6.4424600000000000e+00       2  s^2*1
       4       0         1.3454900000000000e+00       4  s^4*1
       0       1         9.0458600000000000e-01       5  1*s^1
       1       1         5.5872100000000000e+00       6  s^1*s^1
       3       1         1.9021100000000000e+00       8  s^3*s^1
       0       2        -5.5575400000000000e+00      10  1*s^2
       2       2         3.9270500000000000e+00      12  s^2*s^2
       1       3        -1.9021100000000000e+00      16  s^1*s^3
       0       4         1.3454900000000000e+00      20  1*s^4
#!-------------------
